Time: 2021-06-09T13:36:59.420Z , Type: MidPrice , Price: 1002.0
Time: 2021-06-09T13:36:59.620Z , Type: Pricing , BuyOrSell: sell , Price: 1002.0 , Quantity: 100.0
Time: 2021-06-09T13:36:59.621Z , Type: Pricing , BuyOrSell: sell , Price: 1003.0 , Quantity: 200.0
Time: 2021-06-09T13:36:59.622Z , Type: Pricing , BuyOrSell: sell , Price: 1004.0 , Quantity: 300.0
Time: 2021-06-09T13:36:59.623Z , Type: Pricing , BuyOrSell: sell , Price: 1005.0 , Quantity: 400.0
Time: 2021-06-09T13:36:59.624Z , Type: Pricing , BuyOrSell: sell , Price: 1006.0 , Quantity: 500.0
Time: 2021-06-09T13:36:59.625Z , Type: Pricing , BuyOrSell: sell , Price: 1007.0 , Quantity: 600.0
Time: 2021-06-09T13:36:59.626Z , Type: Pricing , BuyOrSell: sell , Price: 1008.0 , Quantity: 700.0
Time: 2021-06-09T13:36:59.628Z , Type: Pricing , BuyOrSell: sell , Price: 1009.0 , Quantity: 800.0
Time: 2021-06-09T13:36:59.628Z , Type: Pricing , BuyOrSell: sell , Price: 1010.0 , Quantity: 900.0
Time: 2021-06-09T13:36:59.630Z , Type: Pricing , BuyOrSell: sell , Price: 1011.0 , Quantity: 1000.0
Time: 2021-06-09T13:36:59.631Z , Type: Pricing , BuyOrSell: buy , Price: 1002.0 , Quantity: 100.0
Time: 2021-06-09T13:36:59.632Z , Type: Pricing , BuyOrSell: buy , Price: 1001.0 , Quantity: 200.0
Time: 2021-06-09T13:36:59.633Z , Type: Pricing , BuyOrSell: buy , Price: 1000.0 , Quantity: 300.0
Time: 2021-06-09T13:36:59.634Z , Type: Pricing , BuyOrSell: buy , Price: 999.0 , Quantity: 400.0
Time: 2021-06-09T13:36:59.635Z , Type: Pricing , BuyOrSell: buy , Price: 998.0 , Quantity: 500.0
Time: 2021-06-09T13:36:59.636Z , Type: Pricing , BuyOrSell: buy , Price: 997.0 , Quantity: 600.0
Time: 2021-06-09T13:36:59.637Z , Type: Pricing , BuyOrSell: buy , Price: 996.0 , Quantity: 700.0
Time: 2021-06-09T13:36:59.638Z , Type: Pricing , BuyOrSell: buy , Price: 995.0 , Quantity: 800.0
Time: 2021-06-09T13:36:59.639Z , Type: Pricing , BuyOrSell: buy , Price: 994.0 , Quantity: 900.0
Time: 2021-06-09T13:36:59.639Z , Type: Pricing , BuyOrSell: buy , Price: 993.0 , Quantity: 1000.0
